num_children	level	entropy	env_vector	num_samp	num_env
46	5	2.53495617031	"[  0.2          0.03846154   0.           2.90346154   0.04         5.66666667
   1.           0.           0.           1.15351351   0.          13.46543659
   0.08054054   1.13351351   5.97389293   0.20054054  14.14397263]"	199	17
1138	3	3.12103547449	"[  3.18175443e+01   1.86627589e+00   9.86376730e-01   1.31560446e-01
   1.81373924e+01   2.43827789e+01   9.76190476e-01   4.24297609e+00
   1.82773004e+02   8.57101313e+00   1.81212502e+02   1.28731412e+02
   2.86420040e+02   8.22341290e+01   6.88956624e+01   8.43215267e+01
   3.22996156e+01]"	930	17
17	4	1.59743683007	"[  0.           0.2          0.           0.           0.           0.           0.
   0.           0.           0.           1.20600414  11.13681536   0.           0.
   2.81521739   0.88257576   0.75938735]"	71	17
30	6	2.58907010643	"[  0.75         0.           0.           0.83333333   0.2          0.24
   0.           0.           3.62148148   0.           6.12380952   2.
  11.44089947   2.6          0.           2.19047619   0.        ]"	160	17
102	4	2.69116212707	"[  1.04347826   0.           0.           0.           2.7          1.75
   0.           0.          11.79211368   0.          34.61020265
   6.27063492  23.51247318  10.42222222   4.91063492   4.98824017   0.        ]"	235	17
3	6	1.45914791703	"[ 1.   0.   0.5  0.   0.   0.   0.   0.   0.   0.   0.   1.5  0.   0.   0.
  0.   0. ]"	4	17
80	4	2.18637758174	"[  0.83333333   0.14285714   0.           1.           0.           0.           0.
   0.5         19.68395174   1.11125      2.5263104    0.41721491
  37.21227617  10.57065092   0.14285714   5.81929825   0.04      ]"	183	17
160	5	2.34198502546	"[  2.50000000e-01   0.00000000e+00   5.88235294e-02   5.64000000e+00
   1.22500000e+00   0.00000000e+00   0.00000000e+00   3.33333333e-01
   1.78266457e+01   1.79107339e+01   3.79012605e+00   1.29557703e+01
   7.99364020e+01   1.00952381e+00   0.00000000e+00   1.21739496e+00
   1.78462465e+01]"	149	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.]	3	17
1153	2	3.08510014901	"[   3.95          5.84920635    2.31797235    3.28333333    5.62881891
    8.18117581    1.25         10.75        113.60444533    1.88119288
  117.95551479  142.13267196  207.75693177  140.09186972   97.30929472
  251.84702392   39.21054815]"	652	17
1	7	0.322745193961	"[ 0.          0.          0.          0.          0.          0.05882353
  0.          0.          0.94117647  0.          0.          0.          0.
  0.          0.          0.          0.        ]"	17	17
1	6	0.650010811762	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.16666667  0.          0.
  0.83333333  0.          0.        ]"	6	17
14	7	2.35545373059	"[ 0.1         0.          0.05555556  0.          0.14285714  0.31111111
  0.          0.          0.          1.          0.88888889  3.02698413
  0.47222222  0.05555556  6.6968254   1.          0.25      ]"	68	17
140	6	2.79603353915	"[  5.84324402e+01   6.47112783e+00   1.05815055e+01   9.49538681e+00
   1.25707492e+01   1.79677330e+01   0.00000000e+00   5.21825275e+00
   1.07938047e-01   2.93557251e-02   7.49544669e-02   9.38994374e+00
   1.05838244e+00   6.20452558e+00   1.03150184e+00   1.29036872e+00
   7.58341827e-02]"	629	17
36	6	2.62342257971	"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   5.00000000e-01   6.17283951e-03   2.00000000e+00   0.00000000e+00
   3.65679012e+00   0.00000000e+00   4.79753086e+00   1.56975309e+01
   2.51111111e+00   4.92592593e-01   2.35802469e+00   2.78024691e+00
   1.20000000e+00]"	211	17
4	7	1.5	[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.]	6	17
10	6	2.12983662875	"[ 0.          0.          5.03333333  1.66666667  0.63333333  0.63333333
  0.          0.          0.          0.          0.          0.
  0.13333333  1.4         0.          0.5         0.        ]"	30	17
7	6	3.14520629869	"[ 0.76124031  0.          1.04651163  0.01162791  0.87635659  0.26957364
  0.          0.01162791  0.55581395  0.          0.11821705  0.01162791
  1.07790698  0.98313953  0.          0.26472868  1.01162791]"	119	17
3	7	1.52148338015	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          1.16666667  0.          0.6         0.          0.
  0.          0.          1.23333333]"	12	17
16	6	2.66865807133	"[ 0.01162791  0.          0.          0.03703704  0.10680448  2.34323859
  0.          0.03703704  1.00732127  0.          0.69649988  0.71400886
  0.64989038  2.37794277  1.41468002  6.38913386  0.2147779 ]"	179	17
32	7	3.31692005398	"[ 5.22738702  0.49193851  5.91830116  5.71226933  1.78029585  1.365197    0.
  2.45804832  0.          1.18333333  2.00230265  0.63168354  1.00603675
  3.51190732  0.5         0.10812464  0.1031746 ]"	211	17
7	6	2.50756062624	"[ 0.          0.          0.          0.          0.5         0.          0.
  0.          1.97058824  0.          1.28571429  0.          0.02941176
  1.14285714  0.          1.17857143  0.89285714]"	47	17
7	6	2.50342182238	"[ 2.20555556  0.          0.          0.43888889  0.23333333  0.66666667
  0.          0.13888889  0.05555556  0.          0.          0.
  2.03333333  1.07777778  0.06666667  0.08333333  0.        ]"	54	17
1269	3	2.36540243114	"[  3.12500000e-01   1.00000000e+00   0.00000000e+00   0.00000000e+00
   2.57575758e-01   4.16666667e-02   6.08333333e+00   0.00000000e+00
   9.69997419e+01   2.00000000e+00   5.61415700e+02   1.05252639e+02
   4.93951189e+01   2.35287831e+01   5.92444988e+01   3.03113094e+02
   6.03553483e+01]"	463	17
16	4	1.93047403958	"[ 0.          0.          0.          0.          0.          0.          1.
  0.          0.          0.          2.125       8.79166667  0.          0.
  2.33333333  0.25        1.5       ]"	34	17
21	3	2.59816692895	"[ 2.33333333  0.          0.          0.          0.5         0.          0.
  0.          6.09393939  0.33333333  2.57348485  1.73333333  6.08257576
  0.7         0.          0.65        0.        ]"	71	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.]	2	17
19	6	3.13992953856	"[ 0.85390772  0.51129944  0.03389831  0.30675398  1.26963063  2.59272171
  0.          0.65807439  3.07528677  0.20766992  0.33333333  1.01129944
  5.88770972  1.38528505  0.01129944  0.68664612  0.17518404]"	238	17
1	3	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.]	2	17
4	2	1.2022815506	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          2.53095238  0.19047619  0.          1.25
  0.02857143  0.          0.        ]"	42	17
1	7	-0.0	[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]	1	17
96	4	2.20159923518	"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   4.16666667e-01   1.00000000e+00   3.12500000e-02   0.00000000e+00
   6.07996633e+00   0.00000000e+00   1.15681391e+01   5.11088702e+01
   1.05218855e-01   1.42063492e+00   8.34536997e+00   5.47507123e+00
   1.04488127e+01]"	210	17
8	6	2.77079699568	"[ 1.          0.          1.76984127  0.          0.05555556  0.          0.
  1.05555556  0.          0.          1.          0.56349206  0.          1.
  0.          1.55555556  0.        ]"	32	17
73	5	2.5502148804	"[  2.70952381e+00   0.00000000e+00   0.00000000e+00   1.14285714e+00
   3.33333333e-01   9.34722222e-01   0.00000000e+00   1.85257378e+00
   1.51694860e+01   1.09503689e+00   8.34865166e+00   2.32558140e-02
   3.00629488e+01   8.59548168e+00   1.01111111e+00   1.69582216e+00
   2.51956182e-02]"	272	17
8	6	3.08769099711	"[ 1.03225806  0.47619048  0.          0.07692308  0.04        0.          0.
  0.          0.          0.46153846  1.02451613  1.55169562  0.
  0.35483871  0.70057899  0.76344086  1.51801961]"	85	17
61	6	2.90137065688	"[  3.34480637   0.03336068   0.           1.2          0.68910738
   2.05147442   0.           0.97659088  13.1412431    1.24109589
   2.86353775   3.61108566  19.27037599   3.73394505   0.           8.80912428
   0.03425254]"	291	17
19	5	2.77979999151	"[ 0.          0.          0.19230769  0.          0.          0.25        5.25
  0.          0.          2.          1.88286713  0.66025641  0.
  1.12820513  1.          1.63636364  5.        ]"	62	17
331	2	2.19342012014	"[   0.            0.66666667    0.            0.            0.25          0.
    2.            0.           29.65949729    0.           90.62935977
  153.96673017    6.33660638    5.59927981   12.05941008   14.31580814
   15.51664169]"	337	17
904	4	3.36197882937	"[  32.76839151    8.25246278   10.54294249    1.92689694   23.94881489
   71.06985563    0.28571429   14.14974377  132.7235501    13.58390559
   84.43571379   33.27803039  227.30597094   64.26583274   39.43109922
  114.32925805   31.70181688]"	1180	17
1	7	-0.0	[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]	1	17
30	6	2.63523249873	"[  5.45608096e+00   6.45161290e-03   1.09358079e+00   8.27073604e-01
   1.94446763e-01   3.07743847e+00   0.00000000e+00   1.95123563e-01
   1.98844111e+00   4.50724638e-01   0.00000000e+00   2.53195374e-02
   1.20633718e+01   1.18439615e+00   0.00000000e+00   3.41223148e+00
   2.53195374e-02]"	256	17
3	7	0.333397820066	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.18452381  0.          2.81547619]"	26	17
1	7	1.0	"[ 0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.5]"	2	17
8	6	1.91861004013	"[ 0.95238095  0.          4.45238095  1.22619048  0.          0.28571429
  0.          0.25        0.          0.          0.          0.          0.
  0.83333333  0.          0.          0.        ]"	63	17
1220	3	2.21441654812	"[   4.38095238    1.2           0.            1.            4.33333333
    1.5           2.25          3.          109.80652428   18.5863354
   63.24460197   62.7107687    90.88929934   53.80529136   54.33280257
  723.2669727    25.69311796]"	465	17
189	3	2.80747773042	"[  2.05627968e+01   5.00000000e-02   0.00000000e+00   5.00238095e+00
   1.13677568e+01   2.78627157e+01   0.00000000e+00   4.81227799e+00
   1.22925530e+01   8.33333333e-01   3.33333333e-01   1.03333913e+01
   7.67288210e+01   1.28181555e+01   2.12500000e+00   2.96722786e+00
   9.10256410e-01]"	222	17
1198	4	3.09109000906	"[   6.4384058     4.06313131    4.33660131    7.45952381   12.28872761
   12.73057996    1.16666667   11.30245808  137.37062597    5.5
   94.97214881  143.13588969  199.99302642  149.16303335   48.42251082
  310.20386718   49.45280322]"	671	17
12	5	2.25162916739	[ 4.  0.  2.  2.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.]	17	17
34	5	2.61148072498	"[ 0.30555556  0.          0.          0.          0.          0.1         0.
  0.          9.67551314  0.          4.67739018  3.70649895  2.74175077
  1.05555556  0.35        9.41886792  1.96886792]"	146	17
6	6	0.954434002925	"[ 0.    0.    3.75  2.25  0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.  ]"	8	17
20	4	2.03723668915	"[  0.           3.22973022   0.           0.           0.           0.02631579
   0.           1.14631579   0.           0.           2.025       11.410433
   0.28881579   0.24376463   0.98607011   0.4625       0.18105467]"	144	17
2737	4	3.73691705853	"[  89.57623349   14.07697887   22.01791711   77.30135851   59.04989895
  137.35898816   35.44325023   62.97690778  171.07051705  329.31177085
  233.45821611  305.7615972   348.31120209  197.67145664  261.88073212
  222.85263511  168.88033971]"	1380	17
44	4	2.63401473492	"[  2.08333333   0.           0.09090909   3.9687744    0.74258392
   0.84972678   0.           0.50595238  21.61151385   0.           2.31547619
   3.81293024   3.36912982   2.51515152   0.           0.78138528
   1.35313321]"	128	17
46	6	3.11046280365	"[  0.           2.           0.           1.           1.           0.83333333
   0.           5.41666667   2.36666667   2.           0.           2.16666667
  16.5          2.38333333   3.16666667   2.5          4.66666667]"	51	17
6	5	2.30068488618	"[ 0.01204819  1.09036145  0.0060241   0.03614458  0.5         0.06024096
  0.0060241   0.          0.          0.27710843  0.          0.52409639
  0.          0.0060241   0.60843373  0.03012048  2.84337349]"	169	17
80	3	1.98575062585	"[  0.           0.11174242   0.           0.           0.           0.           0.
   0.           4.98888889   0.          16.768683    43.7998338    0.8
   0.0952381    4.47891963   3.78713757   5.16955659]"	211	17
328	5	3.16703524961	"[   6.43358396    9.12501401    1.1           9.5           1.98120301
   12.99144072    4.83333333    0.61842105    9.34429825    5.07142857
   15.97034121   24.41349421   14.75342409  112.98086104   55.33545192
   29.81286442   13.7348402 ]"	388	17
1	2	-0.0	[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]	2	17
46	5	3.11046280365	"[  0.           2.           0.           1.           1.           0.83333333
   0.           5.41666667   2.36666667   2.           0.           2.16666667
  16.5          2.38333333   3.16666667   2.5          4.66666667]"	51	17
19	4	2.48794315594	"[ 0.          0.          0.          0.          0.          1.          0.
  0.          0.          0.          4.61513158  2.80592105  1.          5.8125
  0.625       3.07894737  0.0625    ]"	48	17
11	3	2.4746180438	"[ 0.          0.          0.          0.2         0.          0.          0.
  0.          0.33333333  0.          1.64606061  4.30571429  0.33333333
  1.68181818  1.94285714  0.24545455  0.31142857]"	92	17
2	7	1.03841496705	"[ 0.    0.    0.    0.    0.    0.    0.    0.    0.78  0.    0.    0.    1.2
  0.    0.    0.02  0.  ]"	52	17
65	4	1.95173650282	"[  2.21818182   0.           0.5          0.           0.           0.59090909
   0.           0.           7.17066125   0.34614325   7.67319654
   1.42764621  40.66992705   0.88146399   0.05588351   1.43307413
   2.03291317]"	261	17
32	6	2.76063218386	"[  1.11111111e-01   3.41917024e-01   4.29184549e-03   4.19170243e-02
   4.29184549e-03   1.59191702e+00   0.00000000e+00   4.29184549e-03
   0.00000000e+00   6.68484910e+00   2.68533619e+00   4.54502010e+00
   7.09523810e-01   4.80482322e-01   1.00311431e+01   1.00858369e+00
   3.75532393e+00]"	288	17
21	6	1.89764643258	"[  1.           0.           1.           0.           0.25         2.25
   0.           0.           0.           0.           1.33333333   0.
  12.66666667   0.           0.           2.5          0.        ]"	22	17
1	7	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]	2	17
122	5	3.18345402844	"[  3.94502453e+01   9.49649394e+00   5.25561231e+00   6.92270122e+00
   1.38083629e+01   1.70134675e+01   2.70270270e-02   5.25433011e+00
   6.46002331e+00   1.02394755e+00   4.45049981e-01   1.44746345e+00
   3.13724555e+00   5.95320898e+00   6.89655172e-02   5.45044952e+00
   7.85405782e-01]"	523	17
917	3	3.10456734818	"[   3.95          4.84920635    2.17511521    3.28333333    5.12881891
    7.18117581    0.25         10.25        103.13539771    0.88119288
   82.15075289   91.75767196  177.11169367  128.60496496   84.04977091
  180.81488107   31.42602434]"	583	17
2	6	1.45914562126	"[ 0.          0.          1.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.33333333  0.66666667  0.        ]"	4	17
524	6	2.77970375792	"[   5.66332628    0.            1.16666667    1.03703704    5.74217187
    8.79484823    0.            9.61301662   95.97355685    0.
   85.79213197    8.42447384  150.61439164   94.03799027   15.36336897
   39.80819       1.96882975]"	480	17
8	7	2.30439071059	"[ 0.22905576  4.11091031  0.0533763   0.03614458  0.12916783  0.30134491
  0.          1.81964136  0.07144859  0.01204819  0.18604651  0.6030712
  0.1980947   0.08265621  0.0060241   0.11880078  0.04216867]"	207	17
1	7	1.43878645023	"[ 0.          0.          0.03448276  0.          0.          0.          0.
  0.12068966  0.67241379  0.          0.          0.          0.15517241
  0.01724138  0.          0.          0.        ]"	58	17
198	5	3.20590480684	"[ 51.02126594  12.84243534  38.54859467  18.4919009   12.13630952
  17.66358675   0.           7.46392496   0.           0.           1.03003247
   3.29336219   1.71978022  15.31868409   5.88846709  10.23079004
   2.3508658 ]"	275	17
154	5	2.85938877037	"[  2.56410256e-02   3.92124542e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   4.28571429e+00   4.94060847e+00   2.15726496e+00
   3.75297619e+00   2.87210757e-01   1.15272320e+01   3.84335874e+01
   1.19276316e+00   3.22733918e+00   4.35479752e+01   1.35589719e+01
   2.31414700e+01]"	365	17
23	4	2.00239044593	"[ 1.          0.          0.          0.          0.          0.          0.
  0.          8.44444444  0.          5.78518519  1.07037037  0.11111111
  0.          0.          6.55185185  0.03703704]"	109	17
385	6	2.41254160734	"[  62.2330061     4.17386091  182.15370614   60.01491916   14.64798647
   13.11530168    0.            3.032273      4.00719424    0.            0.8042416
    0.            5.10951563    8.72723594    0.94444444   25.51473195
    0.52158273]"	340	17
375	2	2.70109159937	"[   0.            0.            0.5           0.            0.            0.
    0.            0.           65.16646322    1.5          48.09413919
   51.19090909   31.49000532   25.48300866   15.83644689  123.47950383
   12.25952381]"	255	17
3611	3	2.94071433143	"[  3.21300077e+01   1.40600069e+00   3.95652174e-01   4.30917628e+00
   1.63725696e+01   3.47555132e+01   3.53333333e+01   2.01755903e+01
   5.55564901e+02   1.98132116e+01   9.06026667e+02   7.64036767e+02
   5.35870808e+02   2.48906172e+02   2.11849764e+02   1.27628700e+02
   9.64251661e+01]"	1049	17
4	6	2.35373362101	"[ 0.58333333  0.          0.66666667  0.16666667  0.76666667  1.4         0.
  0.          0.          0.          0.          0.          0.
  0.41666667  0.          0.          0.        ]"	16	17
283	5	2.3939949062	"[  5.44129236e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00
   1.42857143e-01   2.68393511e-01   6.66666667e-02   0.00000000e+00
   4.65084493e+01   5.74028782e+00   8.24355389e+01   8.52973512e+00
   1.00621372e+02   1.63242432e+01   3.51587165e+00   1.50148079e+01
   3.28764775e+00]"	439	17
1	6	2.4627624026	"[ 0.3         0.          0.          0.          0.06666667  0.1         0.
  0.03333333  0.          0.          0.          0.3         0.          0.1
  0.          0.1         0.        ]"	30	17
6	6	1.91495299473	"[ 0.          0.          0.          1.          0.          0.          1.
  0.          0.          0.          0.          2.16666667  0.          0.
  1.83333333  0.          0.        ]"	12	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.]	1	17
13	2	0.723190222801	"[  0.           0.33333333   0.           0.           0.           0.           0.
   0.           0.           0.           0.36363636  11.66666667
   0.09090909   0.09090909   0.18181818   0.27272727   0.        ]"	31	17
25	5	2.37186910095	"[ 0.2         0.5         0.          0.          0.          0.38181818
  0.          0.          0.          0.          7.53356252  1.
  1.39215686  9.20062389  1.84607843  2.94576012  0.        ]"	85	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.]	1	17
2	6	2.03782067154	"[ 0.01785714  0.          1.125       0.          0.125       0.125       0.
  0.10714286  0.          0.          0.08928571  0.          0.05357143
  0.35714286  0.          0.          0.        ]"	56	17
8	6	1.53906938835	"[ 1.58333333  0.          0.2         0.          0.95        5.01666667
  0.          0.          0.          0.          0.          0.25        0.
  0.          0.          0.          0.        ]"	20	17
3	7	1.25162916739	"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   2.
  0.   0.5]"	12	17
69	4	2.2603258073	"[  0.           0.           0.           0.           1.           0.           0.
   0.          15.72482994   0.          27.84292476   3.18231104
  13.5839385    0.25         1.33333333   5.44519803   0.63746439]"	236	17
38	5	2.3144030243	"[  0.           0.           0.           1.25396825   0.64285714
   0.52702703   0.           0.           0.           9.73262548
   3.55714286   5.662393     0.           0.          14.87128871   0.
   1.75269753]"	139	17
69	2	1.92487703463	"[  0.           0.5          0.           0.           0.           0.
   0.5          0.           0.           0.          10.90714286
  39.83333333   1.           0.           3.83333333   5.42619048   7.        ]"	85	17
40	3	2.51692139256	"[  0.           0.           0.           0.           0.           0.           0.
   0.           1.83333333   0.           4.16666667   8.7          1.
   1.5         15.           3.46666667   4.33333333]"	53	17
40	5	1.40209160964	"[  0.           1.           0.           0.           0.           0.           0.
   0.           0.           2.11111111   0.          26.18522589   0.           0.
   1.20695971   0.           9.4967033 ]"	55	17
69	4	2.6416211781	"[  0.28782051   0.02631579   0.           0.           1.37647059
   2.78888889   0.           1.59215686  18.12664438   0.025        4.26217486
   1.22042947  24.72933885   2.12549483   3.34098066   8.68600361
   0.4122807 ]"	286	17
3	6	1.25162916739	"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   2.
  0.   0.5]"	12	17
29	4	2.49557506465	"[  0.           0.           2.           0.           0.           0.           0.
   0.          11.79231602   0.           4.57575758   5.25         1.04101732
   0.5          0.5          2.34090909   1.        ]"	92	17
16	6	1.57229342816	"[  1.23076923   0.14285714   3.24175824  10.30769231   0.           0.24358974
   0.           0.           0.           0.           0.           0.16666667
   0.66666667   0.           0.           0.           0.        ]"	71	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.]	1	17
281	3	1.44072209093	"[  2.00000000e+00   2.12121212e-01   0.00000000e+00   0.00000000e+00
   2.00000000e-01   1.00000000e-01   8.53333333e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   1.87619048e-01   5.26102614e+01
   0.00000000e+00   7.79841897e-01   1.03820261e+01   1.16662055e+01
   1.94328591e+02]"	186	17
9	4	2.37744375108	"[ 0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   1.   1.5  0.   3.   2.
  0.   0.5]"	10	17
