#SampleID,#SampleID,empo_0,empo_1,empo_2,empo_3,averagecopy
1030.TVF.2004.Loc1.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5781642527955269
1030.TVF.2004.Loc1.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5400015885901324
1030.TVF.2004.Loc1.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.629108436440799
1030.TVF.2004.Loc1.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.500791166559524
1030.TVF.2004.Loc1.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4873208524450403
1030.TVF.2004.Loc1.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4590259440516078
1030.TVF.2004.Loc1.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6659564100885518
1030.TVF.2004.Loc2.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7018564152065112
1030.TVF.2004.Loc2.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0130432208850992
1030.TVF.2004.Loc2.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0657958994717873
1030.TVF.2004.Loc2.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6650010287609034
1030.TVF.2004.Loc2.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.98360521958573
1030.TVF.2004.Loc2.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.612921415946807
1030.TVF.2004.Loc2.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6234034300612168
1030.TVF.2004.Loc2.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7301258265810673
1030.TVF.2004.Loc2.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5122014097530876
1030.TVF.2004.Loc2.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5975305411547318
1030.TVF.2004.Loc3.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2323952636881996
1030.TVF.2004.Loc3.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2126846597284757
1030.TVF.2004.Loc3.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5125836132581996
1030.TVF.2004.Loc3.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.673854650678315
1030.TVF.2004.Loc3.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8313071158041359
1030.TVF.2004.Loc3.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8005281930765877
1030.TVF.2004.Loc3.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7326359172545065
1030.TVF.2004.Loc3.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.583645901056816
1030.TVF.2004.Loc3.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5449940608015404
1030.TVF.2004.Loc3.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6052433760890024
1030.TVF.2004.Loc4.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5533597731060296
1030.TVF.2004.Loc4.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6836178301412137
1030.TVF.2004.Loc4.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.663520357977531
1030.TVF.2004.Loc4.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4867188554299982
1030.TVF.2004.Loc4.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9887980009240487
1030.TVF.2004.Loc4.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7222650611457702
1030.TVF.2004.Loc4.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4525173274836534
1030.TVF.2004.Loc4.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7644933455298268
1030.TVF.2004.Loc4.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5539848999732786
1030.TVF.2004.Loc4.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5703230377021773
1030.TVF.2004.Loc5.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1938332636341835
1030.TVF.2004.Loc5.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2803894725279736
1030.TVF.2004.Loc5.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.198536366843727
1030.TVF.2004.Loc5.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.302967780999578
1030.TVF.2004.Loc5.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.34557222684052
1030.TVF.2004.Loc5.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.78495005615791
1030.TVF.2004.Loc5.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2463321217004495
1030.TVF.2004.Loc5.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7732257642521114
1030.TVF.2004.Loc5.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.015463893428372
1030.TVF.2004.Loc5.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.861329621572627
1030.TVF.2010.Loc1.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6200441171293045
1030.TVF.2010.Loc1.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6647739205768164
1030.TVF.2010.Loc1.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.648962147879876
1030.TVF.2010.Loc1.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.804550294345752
1030.TVF.2010.Loc1.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0632170526157236
1030.TVF.2010.Loc1.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.987262609858115
1030.TVF.2010.Loc1.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5155320278448778
1030.TVF.2010.Loc1.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7633140417524982
1030.TVF.2010.Loc1.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8049065530672372
1030.TVF.2010.Loc1.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7304658673083666
1030.TVF.2010.Loc2.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5565164807773115
1030.TVF.2010.Loc2.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5266984678961952
1030.TVF.2010.Loc2.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5276305511064654
1030.TVF.2010.Loc2.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5098268587928452
1030.TVF.2010.Loc2.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6252086237199481
1030.TVF.2010.Loc2.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.3857801299819767
1030.TVF.2010.Loc2.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.401915618344512
1030.TVF.2010.Loc2.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4435260617450043
1030.TVF.2010.Loc2.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5340831979291145
1030.TVF.2010.Loc2.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.568070553070501
1030.TVF.2010.Loc3.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6379354237851649
1030.TVF.2010.Loc3.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.758834976973693
1030.TVF.2010.Loc3.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.381952411070703
1030.TVF.2010.Loc3.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.051191094662228
1030.TVF.2010.Loc3.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.388751898239468
1030.TVF.2010.Loc3.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.620988883183757
1030.TVF.2010.Loc3.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6497735011187455
1030.TVF.2010.Loc3.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7747496223350754
1030.TVF.2010.Loc3.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8825066504533359
1030.TVF.2010.Loc3.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9103513633171625
1030.TVF.2010.Loc4.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.5553054118791008
1030.TVF.2010.Loc4.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.3795090734449578
1030.TVF.2010.Loc4.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.406259858880533
1030.TVF.2010.Loc4.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.3097635834454104
1030.TVF.2010.Loc4.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.329905753886281
1030.TVF.2010.Loc4.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7828607866311013
1030.TVF.2010.Loc4.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.99885583547336
1030.TVF.2010.Loc4.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7842272412267353
1030.TVF.2010.Loc4.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.602471763301142
1030.TVF.2010.Loc4.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6684893230205853
1030.TVF.2010.Loc5.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.6381301217961943
1030.TVF.2010.Loc5.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.592562112808178
1030.TVF.2010.Loc5.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1876098248112554
1030.TVF.2010.Loc5.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.952266453252444
1030.TVF.2010.Loc5.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9693476066373405
1030.TVF.2010.Loc5.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7494242343278688
1030.TVF.2010.Loc5.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5338356615657651
1030.TVF.2010.Loc5.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5846435579366607
1030.TVF.2010.Loc5.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7037559804121456
1030.TVF.2010.Loc5.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6751114045057138
1030.TVF.Control.Loc1.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.56843706918298
1030.TVF.Control.Loc1.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.671618237179204
1030.TVF.Control.Loc1.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4319896943507007
1030.TVF.Control.Loc1.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.535971820286513
1030.TVF.Control.Loc1.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6365884945504647
1030.TVF.Control.Loc1.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7367505359216027
1030.TVF.Control.Loc1.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5968449069144512
1030.TVF.Control.Loc1.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.741725966845299
1030.TVF.Control.Loc2.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5488892798399148
1030.TVF.Control.Loc2.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9575854851468035
1030.TVF.Control.Loc2.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9672145804308028
1030.TVF.Control.Loc2.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6070235038973846
1030.TVF.Control.Loc2.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6614922789847668
1030.TVF.Control.Loc2.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5213729717127669
1030.TVF.Control.Loc2.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6550412153337057
1030.TVF.Control.Loc2.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6599713600918646
1030.TVF.Control.Loc2.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6271122514283882
1030.TVF.Control.Loc2.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5815629370197735
1030.TVF.Control.Loc3.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8454500816561958
1030.TVF.Control.Loc3.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9329074347563764
1030.TVF.Control.Loc3.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8606129995138072
1030.TVF.Control.Loc3.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0226357787172313
1030.TVF.Control.Loc3.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7484567425950273
1030.TVF.Control.Loc3.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.61244365963953
1030.TVF.Control.Loc3.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8879796425676425
1030.TVF.Control.Loc3.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7097418548265484
1030.TVF.Control.Loc3.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.669872271734402
1030.TVF.Control.Loc3.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5037744255938703
1030.TVF.Control.Loc4.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1022509254689226
1030.TVF.Control.Loc4.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1268769856403966
1030.TVF.Control.Loc4.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9724894866384846
1030.TVF.Control.Loc4.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8305795006487844
1030.TVF.Control.Loc4.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1902391616406836
1030.TVF.Control.Loc4.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7030107929782168
1030.TVF.Control.Loc4.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6854863580894066
1030.TVF.Control.Loc4.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.583701237787089
1030.TVF.Control.Loc4.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4897839408182294
1030.TVF.Control.Loc4.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.593861325241206
1030.TVF.Control.Loc5.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.853818738134843
1030.TVF.Control.Loc5.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5087053754188602
1030.TVF.Control.Loc5.D0.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.528218586378362
1030.TVF.Control.Loc5.D0.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7017652274807447
1030.TVF.Control.Loc5.D0.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8200879182504155
1030.TVF.Control.Loc5.D10.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8970482394200245
1030.TVF.Control.Loc5.D10.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4720097176932054
1030.TVF.Control.Loc5.D10.Rep3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5311633127583741
1030.TVF.Control.Loc5.D10.Rep4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5637203405077118
1030.TVF.Control.Loc5.D10.Rep5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5499723712284077
1031.CHDF1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5704146815893854
1031.CHDF2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.638182204698294
1031.CHDF3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4182859925791609
1031.CHRA2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4888548724771737
1031.CHRA3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.4411827781225302
1031.HJDF.1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6848982171474876
1031.HJDF2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6710783614648068
1031.HJDF3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6555049372504262
1031.HJRA.1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7501198103123956
1031.HJRA2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7668486505085386
1031.HJRA3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.6854988996526152
1033.Antarctic.soil.10A.2.1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1995897593027145
1033.Antarctic.soil.3B.7.2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2378168375026664
1033.Antarctic.soil.4C.6.4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.4098800802818907
1033.Antarctic.soil.5C.1.7,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.325521665924358
1033.Antarctic.soil.9A.2.0,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.5801592035047607
1034.CHA1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9442356002678702
1034.CHA10,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1736759952498246
1034.CHA11,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.063380963559247
1034.CHA12,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9121752975341226
1034.CHA2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8866879607519462
1034.CHA3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8709285704650915
1034.CHB1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.4991226859024187
1034.CHB10,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.694960107030928
1034.CHB2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.165649177125421
1034.CHB3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.378254510593664
1034.CHB4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0342752935291073
1034.CHB5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9916790462884735
1034.CHB6,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.960786139942192
1034.CHB7,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2168223467190904
1034.CHB8,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.3200419896982942
1034.CHB9,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1949892742970363
1034.CHC1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.3342231068183787
1034.CHC10,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2401995106680612
1034.CHC11,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.150816020544555
1034.CHC12,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9865004358667404
1034.CHC13,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9591490341713176
1034.CHC16,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.0000164826080082
1034.CHC17,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.084141244277473
1034.CHC2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.444235464270542
1034.CHC3,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8385632795527511
1034.CHC4,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.915038923596673
1034.CHC5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8229444466954459
1034.CHC6,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2539422719216944
1034.CHC7,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2845165422272675
1034.CHC8,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.26209644330684
1034.CHC9,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.221654837348319
1034.CHD1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.975867483659439
1034.CHD10,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.983774544504792
1034.CHD11,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.4162801600835753
1034.CHD2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.1368607740711125
1034.CHD3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.299764120419366
1034.CHD4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2346605108121973
1034.CHD5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.030331960792129
1034.CHD8,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.936293335305133
1034.CHD9,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.00676046244486
1034.CHF1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2210021857479094
1034.CHF10,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.8427815197802113
1034.CHF11,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.7633140765631126
1034.CHF12,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.148926321944127
1034.CHF13,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.168938585135481
1034.CHF14,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.5782757966924272
1034.CHF2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.2658194778049654
1034.CHF5,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9004123076062376
1034.CHF6,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.9495368924119052
