shared name	CSI_#adducts	CSI_#predictedFPs	CSI_ConfidenceScore	CSI_CSI:FingerIDScore	CSI_ZodiacScore	CSI_SiriusScore	CSI_molecularFormula	CSI_adduct	CSI_InChIkey2D	CSI_InChI	CSI_name	CSI_smiles	CSI_xlogp	CSI_pubchemids	CSI_links	CSI_dbflags	CSI_ionMass	CSI_retentionTimeInSeconds	CSI_id
187	3	3		-44.446	1.0	55.711	C20H34O2	[M - H2O + H]+	GUBNWXDDDXQJOQ	InChI=1S/C20H34O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h13-18,21-22H,3-12H2,1-2H3	17-ethylestrane-3,17-diol	CCC1(CCC2C1(CCC3C2CCC4C3CCC(C4)O)C)O	4.5	528760;196431;247306;248414;6431227;6431231;6431236;12133281;20837880;21126502;57358614;71751237;71751238;124519466;124523908;124523909;125124702;125124700;125124701;124225355;124335924;131700703;131700704;131704896;131704939;131705189;131707740;133686919;133686920	NORMAN:(NS00040577);COCONUT:(CNP0347067);PubChem:(528760 196431 247306 248414 6431227 6431231 6431236 12133281 20837880 21126502 57358614 71751237 71751238 124519466 124523908 124523909 125124702 125124700 125124701 124225355 124335924 131700703 131700704 131704896 131704939 131705189 131707740 133686919 133686920);additional;MeSH:(196431 21126502);Training Set;PubMed	2900038	289.252	710.193	186_140221_187
749	1	1		-192.145	1.0	67.151	C24H32O5	[M - H2O + H]+	JYUYCXZRKLRCGB	InChI=1S/C24H32O5/c1-12(25)13-9-18(29)24(6)20-14(26)10-16-21(2,3)17(28)7-8-22(16,4)19(20)15(27)11-23(13,24)5/h13,16,18,29H,7-11H2,1-6H3		CC(=O)C1CC(C2(C1(CC(=O)C3=C2C(=O)CC4C3(CCC(=O)C4(C)C)C)C)C)O	1.5	139586685	PubChem:(139586685);COCONUT:(CNP0356952)	2097154	383.22	1577.093	748_140221_749
1072	1	1		-143.444	1.0	35.611	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2486.455	1071_140221_1072
1071	1	1		-156.784	1.0	23.778	C5H6O5	[M + K]+	OXTNCQMOKLOUAM	InChI=1S/C5H6O5/c6-3(1-4(7)8)2-5(9)10/h1-2H2,(H,7,8)(H,9,10)	3-oxopentanedioate	C(C(=O)CC(=O)O)C(=O)O	-0.7	68328;6950210	HMDB:(13701);ZINC bio:(ZINC00388410);Plantcyc:(CPD-9778);PubMed;NORMAN:(NS00002494);COCONUT:(CNP0280291);PubChem:(68328 6950210);CHEBI:(88950);PubChem class - bio and metabolites;PubChem class - safety and toxic;Biocyc:(CPD-9778);KEGG Mine	8676321386	184.986	2464.958	1070_140221_1071
9	3	3		-15.145	1.0	25.329	C15H10O5	[M + H]+	KZNIFHPLKGYRTM	InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H	apigenin	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	2.235	5280443;12358401;12358402;25200950;101014859;101383057	HMDB:(2124);PubChem class - food;SuperNatural:(SN00005790);ZINC bio:(ZINC03871576);additional;HSDB:(520-36-5);MeSH:(5280443);Plantcyc:(A-DGAL-HEX-);PubMed;NORMAN:(NS00007770);COCONUT:(CNP0094170 CNP0251015);KNApSAcK:(3817);Natural Products:(UNPD48910);PubChem:(5280443 12358401 12358402 25200950 101014859 101383057);CHEBI:(58470 18388);PubChem class - bio and metabolites;KEGG:(C01477);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-431)	255781758	271.06	171.006	8_140221_9
817	2	2		-223.885	1.0	32.545	C24H30O4	[M + H]+	HZLYMVNJKHJFRO	InChI=1S/C24H30O4/c1-5-21(17-9-13-19(14-10-17)27-23(25)7-3)22(6-2)18-11-15-20(16-12-18)28-24(26)8-4/h9-16,21-22H,5-8H2,1-4H3	Oprea1_638290	CCC(C1=CC=C(C=C1)OC(=O)CC)C(CC)C2=CC=C(C=C2)OC(=O)CC	6.3	107342;7005058;7005059;7005060	NORMAN:(NS00046717);COCONUT:(CNP0349929);PubChem:(107342 7005058 7005059 7005060);additional;PubChem class - safety and toxic;Training Set;PubMed	70008898	383.22	1675.465	816_140221_817
1080	1	1		-143.497	1.0	35.5	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2768.046	1079_140221_1080
681	4	4		-71.971	1.0	23.808	C18H37NO3	[M - H4O2 + H]+	VKNVTBLRNBCIQW	InChI=1S/C18H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h6-7,16-18,20-22H,2-5,8-15,19H2,1H3		CCCCCC=CCCCCCCCC(C(C(CO)N)O)O	3.614		COCONUT:(CNP0358658)	2097152	280.264	1462.724	680_140221_681
418	1	1		-189.191	1.0	54.818	C24H32O5	[M - H2O + H]+	JYUYCXZRKLRCGB	InChI=1S/C24H32O5/c1-12(25)13-9-18(29)24(6)20-14(26)10-16-21(2,3)17(28)7-8-22(16,4)19(20)15(27)11-23(13,24)5/h13,16,18,29H,7-11H2,1-6H3		CC(=O)C1CC(C2(C1(CC(=O)C3=C2C(=O)CC4C3(CCC(=O)C4(C)C)C)C)C)O	1.5	139586685	PubChem:(139586685);COCONUT:(CNP0356952)	2097154	383.221	1060.97	417_140221_418
877	1	1		-131.417	1.0	145.017	C20H26O3	[M + H]+	RITYYQSDASPQSY	InChI=1S/C20H26O3/c1-13(21)17-8-9-18-15-6-4-3-5-14(22)7-10-19(23)16(15)11-12-20(17,18)2/h15-18H,5-12H2,1-2H3	Pregnyne	CC(=O)C1CCC2C1(CCC3C2CC#CCC(=O)CCC3=O)C	2.3	193998;22800264	MeSH:(193998);PubChem:(193998 22800264);PubMed	70	315.195	1776.701	876_140221_877
688	4	4		-51.987	1.0	29.004	C18H33NO	[M + H]+	SFIHQZFZMWZOJV	InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)	linoleamide	CCCCCC=CCC=CCCCCCCCC(=O)N	5.9	3930;5353723;6435901;88175293	HMDB:(62656);PubChem class - food;MeSH:(6435901);PubMed;NORMAN:(NS00049417);COCONUT:(CNP0161573);Natural Products:(UNPD14642);PubChem:(3930 5353723 6435901 88175293);YMDB Mine;CHEBI:(93121 82984);PubChem class - bio and metabolites;KEGG Mine	43103060078	280.264	1473.686	687_140221_688
769	3	3		-153.848	1.0	68.222	C24H34O6	[M - H4O2 + H]+	XLAPKZMXOAISFW	InChI=1S/C24H34O6/c1-11(2)21(28)30-10-14-8-15-17-16(22(17,5)6)7-13(4)23(20(15)27)9-12(3)18(25)24(23,29)19(14)26/h8-9,11,13,15-19,25-26,29H,7,10H2,1-6H3	20-O-Isobutyrylingenol	CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)COC(=O)C(C)C	1.3	173302;53462947;137322131	COCONUT:(CNP0112181);Natural Products:(UNPD30230);PubChem:(173302 53462947 137322131);SuperNatural:(SN00385856);MeSH:(173302);PubMed	3178566	383.221	1606.028	768_140221_769
627	3	3		-73.801	1.0	43.125	C20H32O2	[M + H]+	RIDOSNBWMUADGT	InChI=1S/C20H32O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h5-6,8-9,11-12,14-15H,3-4,7,10,13,16-19H2,1-2H3	Moroctic Acid Ethyl Ester	CCC=CCC=CCC=CCC=CCCCCC(=O)OCC	5.9	3088965;6450798;11573071;98008519	COCONUT:(CNP0346850);PubChem:(3088965 6450798 11573071 98008519);CHEBI:(84856);additional;MeSH:(3088965 6450798);PubChem class - safety and toxic;Training Set;PubMed	69746790	305.247	1390.465	626_140221_627
289	3	3		-29.502	1.0	86.109	C18H30O2	[M + H]+	DQGMPXYVZZCNDQ	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-11H,2-5,12-17H2,1H3,(H,19,20)	calendate	CCCCCC=CC=CC=CCCCCCCC(=O)O	5.863	193404;5282817;5282818;5282819;9903769;25244314;90473898;91820049;91820050;129727693	HMDB:(30962);SuperNatural:(SN00247752 SN00020771 SN00234650 SN00318409 SN00030514);ZINC bio:(ZINC14616294 ZINC33820306 ZINC33820307);MeSH:(193404 5282817 5282818 5282819 25244314);Plantcyc:(CPD-8228);PubMed;COCONUT:(CNP0069556 CNP0251263);Natural Products:(UNPD12075 UNPD75866 UNPD4957);PubChem:(193404 5282817 5282818 5282819 9903769 25244314 90473898 91820049 91820050 129727693);CHEBI:(86148);PubChem class - bio and metabolites;Biocyc:(CPD-8228 CPD-17615)	20097134	279.231	890.98	288_140221_289
180	1	1		-155.544	1.0	31.526	C20H26O3	[M + H]+	FSLMGODKGHHERM	InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-18-17(16(3)21)11-12-20(18,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)	DACP analog of retinoic acid	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(CCC1(C)C)C(=O)C	4.9	119273;6438146	MeSH:(119273 6438146);PubChem:(119273 6438146);PubMed	70	315.195	702.09	179_140221_180
299	1	1		-27.45	1.0	23.109	C20H42O6	[M + H]+	QAXPOSPGRHYIHE	InChI=1S/C20H42O6/c1-2-3-4-5-6-7-8-9-11-22-13-15-24-17-19-26-20-18-25-16-14-23-12-10-21/h21H,2-20H2,1H3	Nikkol BD 5SY	CCCCCCCCCCOCCOCCOCCOCCOCCO	3.313	168092	PubChem class - safety and toxic;PubChem:(168092);PubChem class - bio and metabolites	83886082	379.304	899.296	298_140221_299
107	1	1		-126.077	1.0	46.834	C20H26O3	[M + H]+	FSLMGODKGHHERM	InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-18-17(16(3)21)11-12-20(18,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)	DACP analog of retinoic acid	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(CCC1(C)C)C(=O)C	4.9	119273;6438146	MeSH:(119273 6438146);PubChem:(119273 6438146);PubMed	70	315.195	527.98	106_140221_107
44	2	2		-113.184	1.0	154.473	C20H28O4	[M - H2O + H]+	MZEJPAGUQDRCOG	InChI=1S/C20H28O4/c1-11-12-5-6-16(22)20(4)15(19(2,3)8-7-17(20)23)10-14(21)13(9-12)18(11)24/h9,12,14-15,17,21,23H,1,5-8,10H2,2-4H3		CC1(CCC(C2(C1CC(C3=CC(CCC2=O)C(=C)C3=O)O)C)O)C	2.0	101320276;101434818	PubChem:(101320276 101434818);COCONUT:(CNP0089981)	2097154	315.195	364.68	43_140221_44
834	3	3		-48.838	1.0	25.184	C17H35NO	[M + H]+	REEPJBYQLCWOAR	InChI=1S/C17H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H2,18,19)	Heptadecanamide	CCCCCCCCCCCCCCCCC(=O)N	6.126	12791129	COCONUT:(CNP0176457);Natural Products:(UNPD149831);PubChem:(12791129);SuperNatural:(SN00340527);YMDB Mine;PubMed	34362916930	270.279	1698.184	833_140221_834
383	3	3		-52.967	1.0	63.277	C15H24	[M + H]+	KZVOHANKAKKFOK	InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)13(12)14(11)15/h10-14H,1,5-8H2,2-4H3		CC1CCC2C1C3C2(CCC3C(=C)C)C	5.5	10536320;10584348;10584599;10750970;10798471;10488554;91749842;102506997;102585929;134745718;139585876	COCONUT:(CNP0180732);KNApSAcK:(36399);Natural Products:(UNPD53572 UNPD107752 UNPD23900);PubChem:(10536320 10584348 10584599 10750970 10798471 10488554 91749842 102506997 102585929 134745718 139585876);SuperNatural:(SN00358863 SN00261795 SN00325112);additional;Training Set	3719186	205.195	1026.176	382_140221_383
935	4	4		-96.052	1.0	47.813	C21H38O	[M + H3N + H]+	FHJCKWVRJORHEH	InChI=1S/C21H38O/c1-3-5-7-9-11-13-15-17-19-21(22)20-18-16-14-12-10-8-6-4-2/h3,11,13H,1,4-10,12,14-20H2,2H3	(6E)-henicosa-1,6-dien-11-one	CCCCCCCCCCC(=O)CCCC=CCCCC=C	7.7	14214771;72728611	COCONUT:(CNP0198752);Natural Products:(UNPD109227 UNPD67907);PubChem:(14214771 72728611);SuperNatural:(SN00228282 SN00331569)	3178498	324.326	1988.982	934_140221_935
6	2	2		-29.036	1.0	125.051	C17H34O2	[M + H]+	FLIACVVOZYBSBS	InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3	Uniphat A60	CCCCCCCCCCCCCCCC(=O)OC	6.565	8181;12233501;10378565;16122098;16122099;25240711;25240712;25241006;25241008;71309087;71480096;90848369;101144974;101144975;101666390;102602134;129728029;131668202	HMDB:(61859);PubChem class - food;SuperNatural:(SN00161142);ZINC bio:(ZINC43871947);additional;HSDB:(112-39-0);MeSH:(8181);PubMed;NORMAN:(NS00006070);COCONUT:(CNP0274232 CNP0365674);KNApSAcK:(30755);Natural Products:(UNPD145843);PubChem:(8181 12233501 10378565 16122098 16122099 25240711 25240712 25241006 25241008 71309087 71480096 90848369 101144974 101144975 101666390 102602134 129728029 131668202);YMDB Mine;CHEBI:(69187);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C16995);PubChem class - safety and toxic;Training Set	51761701758	271.262	100.379	5_140221_6
610	3	3		-205.422	1.0	44.673	C23H32O6	[M - H2O + H]+	ODJLBQGVINUMMR	InChI=1S/C23H32O6/c1-20-6-3-17-18(4-8-22(27)11-15(25)2-7-21(17,22)13-24)23(20,28)9-5-16(20)14-10-19(26)29-12-14/h10,13,15-18,25,27-28H,2-9,11-12H2,1H3	Corchorin	CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5(C3(CCC(C5)O)C=O)O	2.306	5303;6185;5702136;7059642;5321525;6604198;9822514;9909188;11869536;11870441;11870442;16757874;23616202;23909283;45044787;46494836;53238760;73759821;76313495;87742018;93066207;99566505;99566506;122130267;124904003;124904004;124904005;124921356;124921357;124338895;124338896;133550100;133550476;133655608;134687981	SuperNatural:(SN00006034 SN00226804 SN00384396 SN00006343 SN00078712 SN00006344 SN00005997);ZINC bio:(ZINC03875425 ZINC03881407 ZINC03978064 ZINC03978065 ZINC08764852);additional;MeSH:(6185);PubMed;NORMAN:(NS00010436);COCONUT:(CNP0175379);KNApSAcK:(32213);Natural Products:(UNPD4050 UNPD53456 UNPD27278 UNPD123778);PubChem:(5303 6185 5702136 7059642 5321525 6604198 9822514 9909188 11869536 11870441 11870442 16757874 23616202 23909283 45044787 46494836 53238760 73759821 76313495 87742018 93066207 99566505 99566506 122130267 124904003 124904004 124904005 124921356 124921357 124338895 124338896 133550100 133550476 133655608 134687981);CHEBI:(38178 131147 95181);KEGG:(C19988);PubChem class - safety and toxic;Training Set	71098742	387.216	1361.658	609_140221_610
214	3	3		-153.106	1.0	78.365	C24H34O6	[M - H4O2 + H]+	XLAPKZMXOAISFW	InChI=1S/C24H34O6/c1-11(2)21(28)30-10-14-8-15-17-16(22(17,5)6)7-13(4)23(20(15)27)9-12(3)18(25)24(23,29)19(14)26/h8-9,11,13,15-19,25-26,29H,7,10H2,1-6H3	20-O-Isobutyrylingenol	CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)COC(=O)C(C)C	1.3	173302;53462947;137322131	COCONUT:(CNP0112181);Natural Products:(UNPD30230);PubChem:(173302 53462947 137322131);SuperNatural:(SN00385856);MeSH:(173302);PubMed	3178566	383.221	742.189	213_140221_214
256	1	1		-139.482	1.0	84.204	C20H26O3	[M + H]+	UVDJGUGLTDSECX	InChI=1S/C20H26O3/c1-12(2)14-10-17(23)20(4)8-7-19(3)15(18(14)20)6-5-13(11-21)9-16(19)22/h5,10-12,15,18H,6-9H2,1-4H3	(3aR,5aR,10aR,10bR)-3a,5a-dimethyl-3,6-dioxo-1-propan-2-yl-4,5,7,10,10a,10b-hexahydrocyclohepta[e]indene-8-carbaldehyde	CC(C)C1=CC(=O)C2(C1C3CC=C(CC(=O)C3(CC2)C)C=O)C	2.3	16739359	COCONUT:(CNP0196688);Natural Products:(UNPD110407);PubChem:(16739359);SuperNatural:(SN00343230);PubMed	3178562	315.195	822.322	255_140221_256
23	3	3		-156.924	1.0	45.37	C24H34O6	[M - H4O2 + H]+	XLAPKZMXOAISFW	InChI=1S/C24H34O6/c1-11(2)21(28)30-10-14-8-15-17-16(22(17,5)6)7-13(4)23(20(15)27)9-12(3)18(25)24(23,29)19(14)26/h8-9,11,13,15-19,25-26,29H,7,10H2,1-6H3	20-O-Isobutyrylingenol	CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)COC(=O)C(C)C	1.3	173302;53462947;137322131	COCONUT:(CNP0112181);Natural Products:(UNPD30230);PubChem:(173302 53462947 137322131);SuperNatural:(SN00385856);MeSH:(173302);PubMed	3178566	383.223	279.591	22_140221_23
731	3	3		-119.712	1.0	81.805	C20H26O3	[M - H2O + H]+	RITYYQSDASPQSY	InChI=1S/C20H26O3/c1-13(21)17-8-9-18-15-6-4-3-5-14(22)7-10-19(23)16(15)11-12-20(17,18)2/h15-18H,5-12H2,1-2H3	Pregnyne	CC(=O)C1CCC2C1(CCC3C2CC#CCC(=O)CCC3=O)C	2.3	193998;22800264	MeSH:(193998);PubChem:(193998 22800264);PubMed	70	297.185	1555.61	730_140221_731
1	2	2		-28.966	1.0	124.924	C17H34O2	[M + H]+	FLIACVVOZYBSBS	InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3	Uniphat A60	CCCCCCCCCCCCCCCC(=O)OC	6.565	8181;12233501;10378565;16122098;16122099;25240711;25240712;25241006;25241008;71309087;71480096;90848369;101144974;101144975;101666390;102602134;129728029;131668202	HMDB:(61859);PubChem class - food;SuperNatural:(SN00161142);ZINC bio:(ZINC43871947);additional;HSDB:(112-39-0);MeSH:(8181);PubMed;NORMAN:(NS00006070);COCONUT:(CNP0274232 CNP0365674);KNApSAcK:(30755);Natural Products:(UNPD145843);PubChem:(8181 12233501 10378565 16122098 16122099 25240711 25240712 25241006 25241008 71309087 71480096 90848369 101144974 101144975 101666390 102602134 129728029 131668202);YMDB Mine;CHEBI:(69187);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C16995);PubChem class - safety and toxic;Training Set	51761701758	271.262	3.538	0_140221_1
983	3	3		-65.449	1.0	20.745	C21H40O	[M + H3N + H]+	UWGBVLNRVXTIKA	InChI=1S/C21H40O/c1-3-5-7-9-11-13-15-17-19-21(22)20-18-16-14-12-10-8-6-4-2/h13,15H,3-12,14,16-20H2,1-2H3		CCCCCCCCCCC(=O)CCC=CCCCCCC	8.4	14680471;14680472;85897109	COCONUT:(CNP0313902);Natural Products:(UNPD73532);PubChem:(14680471 14680472 85897109);SuperNatural:(SN00240388)	3178498	326.341	2182.345	982_140221_983
45	3	3		-125.208	1.0	168.501	C20H24O2	[M + H]+	ZEVUZQQQWZRCFG	InChI=1S/C20H24O2/c1-15(14-19-12-13-20(22)17(19)3)10-8-6-5-7-9-11-16(2)18(4)21/h5-11,14H,12-13H2,1-4H3		CC1=C(CCC1=O)C=C(C)C=CC=CC=CC=C(C)C(=O)C	4.1	10780283	COCONUT:(CNP0313481);MeSH:(10780283);Natural Products:(UNPD62358);PubChem:(10780283);PubMed	2129990	297.185	365.331	44_140221_45
690	1	1		-213.283	1.0	49.25	C23H30O5	[M - H2O + H]+	FOBVMYJQWZOGGJ	InChI=1S/C23H30O5/c24-18(13-12-17-8-4-3-5-9-17)14-15-20-19(21(25)16-22(20)26)10-6-1-2-7-11-23(27)28/h1,3-6,8-9,14-15,18-20,22,24,26H,2,7,10-13,16H2,(H,27,28)	17-phenyl-PGE2	C1C(C(C(C1=O)CC=CCCCC(=O)O)C=CC(CCC2=CC=CC=C2)O)O	3.732	1450;3246822;5933451;5283068;5353296;24838627;25886394;59294026;59294027;59294057;59294058;71775566;70866087;87516381;87516382;91885986;124390162;124390163;131705998;134688230;139593377	COCONUT:(CNP0350156);HMDB:(62612);PubChem:(1450 3246822 5933451 5283068 5353296 24838627 25886394 59294026 59294027 59294057 59294058 71775566 70866087 87516381 87516382 91885986 124390162 124390163 131705998 134688230 139593377);CHEBI:(87820 113548);additional;PubChem class - bio and metabolites;MeSH:(5283068);Training Set;PubMed	19415150	369.205	1480.34	689_140221_690
963	3	3		-12.802	1.0	41.272	C22H43NO	[M + H]+	UAUDZVJPLUQNMU	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)	Erucylamide	CCCCCCCCC=CCCCCCCCCCCCC(=O)N	8.8	8214;5365369;5365371	PubChem class - food;Maconda:(CON00035);additional;HSDB:(112-84-5);MeSH:(8214 5365371);PubMed;NORMAN:(NS00010726);COCONUT:(CNP0107414);Natural Products:(UNPD40452);PubChem:(8214 5365369 5365371);CHEBI:(142245);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8810972774	338.342	2107.733	962_140221_963
25	3	3		-27.993	1.0	25.528	C11H12O3	[M + H]+	ZOQCEVXVQCPESC	InChI=1S/C11H12O3/c1-2-14-11(13)8-5-9-3-6-10(12)7-4-9/h3-8,12H,2H2,1H3	p-Coumaric acid ethyl ester	CCOC(=O)C=CC1=CC=C(C=C1)O	2.234	676946;349172;12719326;16109927	HMDB:(131282);SuperNatural:(SN00273663);ZINC bio:(ZINC00040395 ZINC13549249);additional;MeSH:(676946);PubMed;COCONUT:(CNP0246158);Natural Products:(UNPD209589 UNPD221997 UNPD35890);PubChem:(676946 349172 12719326 16109927);PubChem class - bio and metabolites;Training Set;KEGG Mine	8610439246	193.085	282.905	24_140221_25
