VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_9_2P8NVPBHA8	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55690	56689	1353	Destruxins_4'ξ,5'-Epoxide	15	1.1e-23	593.342	612.361	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC2CO2)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_16_OZJ0KHENJY	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34297	34853	615	Nairaiamide_A_Nairaiamide_A	12	1.1e-22	801.536	794.517	-1	M+H	1	CCC(C)C1C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)NC(C(C)OC(C)(C)C=C)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)N1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55637	56634	6036	Pseudodestruxin_C_Pseudodestruxin_C	13	8.0e-22	669.41	670.416	-1	M+H	1	CC(C)CC1C(=O)N2CCC(C)C2C(=O)NC(Cc2ccccc2)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)NCCC(=O)O1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42011	42740	8809	hymenamide_D	12	2.3e-21	769.401	770.408	-1	M+H	1	[C@@H]1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N1)CCC3)CC(=O)O)Cc1ccc(cc1)O)CCC2)[C@H](CC)C)C)CC(C)C	0.00
spectra-00000_PSM_41_L8GUBELFN2	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55677	56674	7861	Destruxins_2-Valine_analogue,_5'-hydroxy	9	3.7e-21	595.358	610.382	-1	M+H	1	CC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(C)CO)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_24_D2Z7L29R5F	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	12107	12224	8314	WS-7338-D	12	4.6e-21	584.296	668.418	-1	M+H	1	N1C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C1C(C)C)Cc1c[nH]c2c1cccc2)CCC(=O)O)C)C(C)C	0.00
spectra-00000_PSM_8_4G9VUDCG8X	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55644	56641	3219	Destruxins_Piperidine_homologue,_4',5'-dihydro,_4'ξ,5'-dihydroxy	15	4.9e-21	625.369	624.397	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(CO)O)C(=O)N2CCCCC2C(=O)N1	0.00
spectra-00000_PSM_51_BIVOLS8AWZ	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	14984	15221	8556	PHB;_sPHB;_Poly-(hydroxybutyric_acid),_m	7	8.9e-21	878.378	896.411	-1	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C)C	0.00
spectra-00000_PSM_48_7QH9VNXY0Q	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	26960	27385	7833	Cyclolinopeptide_E_S-Oxide	8	1.5e-20	992.541	977.555	-1	M+H	1	CCC(C)C1C(=O)NC(CCS(=O)(=O)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)N1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55636	56633	8204	E'Surugamide_A'	15	2.1e-20	911.621	912.627	-1	M+H	1	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)[C@@H](CC)C	0.00
spectra-00000_PSM_14_E2SE43ZSCB	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	32026	32531	3591	Citrusin_IX_Citrusin_IX	13	7.0e-20	752.422	682.395	-1	M+H	1	CCC(C)C1C(=O)NCC(=O)NC(C(C)CC)C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(CCC(=N)O)C(=O)N1	0.00
spectra-00000_PSM_30_8YMWOP7LG4	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42340	43070	9212	stylissamide_X	11	7.5e-20	951.522	984.519	-1	M+H	1	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
spectra-00000_PSM_45_TZQCW1UGKI	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34268	34824	5591	Aspergillicin_A_Demethoxy	9	2.2e-19	710.4	814.485	-1	M+H	1	CCC(C)C1C(=O)N2CCCC2C(=O)N2CCCC2C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)OC(C)C(C(=O)N1)NC(=O)C	0.00
spectra-00000_PSM_20_ZFSBHBOEEI	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	47485	48338	504	Nocardiamide_A_Nocardiamide_A	12	4.1e-19	686.437	673.428	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	38089	38733	4924	Emericellamides_Emericellamide_C	11	5.5e-19	595.394	596.401	-1	M+H	1	CCCCCCCC1C(C)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)O1	0.00
spectra-00000_PSM_53_195853L9DK	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	14967	15203	8456	OHB;_cPHB;_Oligo-(hydroxybutyric_acid),	6	1.1e-18	792.342	738.354	-1	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42013	42742	9212	stylissamide_X	11	1.2e-18	951.522	952.528	-1	M+H	1	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55658	56655	8205	E'Surugamide_B'	10	1.7e-18	897.605	898.61	-1	M+H	1	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)[C@H](CC)C)C(C)C	0.00
spectra-00000_PSM_44_FT2EH2X4PR	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34274	34830	1008	Itralamide_B_Itralamide_B	9	1.7e-18	796.369	870.544	-1	M+H	1	CC(C)C1C(=O)N(C)C(C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)OC(C)C(C(=O)N(C)C(C)C(=O)N1)N(C)C(=O)CC(C)C(Cl)Cl	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	41555	42274	8966	phakellistatin_1	10	2.1e-18	827.458	828.466	-1	M+H	1	[C@@H]1(C(=O)N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](Cc2ccc(cc2)O)C(=O)N2[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N1)CCC3)[C@H](CC)C)CCC2)Cc1ccccc1)[C@@H](C)CC	0.00
spectra-00000_PSM_38_0ZZSLILMLS	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34252	34808	7888	Scytalidamide_A_Scytalidamide_A	10	3.6e-18	877.51	780.501	-1	M+H	1	CC(C)CC1C(=O)N2CCCC2C(=O)N(C)C(CC(C)C)C(=O)NC(C)(C)C(=O)NC(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)N1	0.00
spectra-00000_PSM_4_SBKFMIQFP7	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	12113	12230	5748	Unguisin_D_Unguisin_D	17	5.0e-18	738.443	696.445	-1	M+H	1	CCC(C)C1C(=O)NC(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NCCCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)N1	0.00
spectra-00000_PSM_27_1QKIZ1L98Q	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55639	56636	8207	E'Surugamide_D'	11	5.6e-18	897.605	456.817	-1	M+2H	2	NCCCC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)[C@H](CC)C)Cc1ccccc1)CC(C)C)[C@H](CC)C)C(C)C)[C@@H](CC)C	0.00
spectra-00000_PSM_40_VQH7JWQCDY	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55656	56653	494	Destruxins_Piperidine_homologue,_5'-carboxylic_acid	9	6.1e-18	637.369	644.339	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(C)C(=O)O)C(=O)N2CCCCC2C(=O)N1	0.00
spectra-00000_PSM_17_N9RWR5TQNE	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55657	56654	7093	Destruxins_NVal-De-Me	12	6.5e-18	579.363	594.385	-1	M+H	1	CCC(C)C1C(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(C)C)C(=O)N2CCCC2C(=O)N1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42153	42882	9222	phakellistatin_16	8	7.1e-18	1036.5	1037.5	-1	M+H	1	[C@@H]1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCNC(=N)N)CO)CC(=O)O)Cc1ccccc1)CCC2)Cc1ccc(cc1)O)[C@H](O)C)C(C)C)C	0.00
spectra-00000_PSM_54_E93N8VN9DX	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	19443	19768	8556	PHB;_sPHB;_Poly-(hydroxybutyric_acid),_m	6	1.0e-17	878.378	982.448	-1	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C)C	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55653	56650	494	Destruxins_Piperidine_homologue,_5'-carboxylic_acid	10	1.2e-17	637.369	638.376	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(C)C(=O)O)C(=O)N2CCCCC2C(=O)N1	0.00
spectra-00000_PSM_36_IMSLA6ZLLZ	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55679	56676	6618	Destruxins_4',5'-Dihydro,_4'ξ,5'-dihydroxy	10	1.3e-17	611.353	640.355	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(CO)O)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_50_L22GCV09OT	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	21861	22236	6215	Dolastatin_15_Dolastatin_15	8	1.3e-17	836.505	398.241	-1	M+2H	2	CC(C)C(C(=O)N(C)C(C(C)C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)OC(C(C)C)C(=O)N1C(Cc2ccccc2)C(=CC1=O)OC)NC(=O)C(C(C)C)N(C)C	0.00
spectra-00000_PSM_29_6K4URAJZU6	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42945	43684	9212	stylissamide_X	11	1.4e-17	951.522	462.77	-1	M+2H	2	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
spectra-00000_PSM_42_0RRGJ0V0OA	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	31260	31757	2397	Cyclozanthoxylane_A_Cyclozanthoxylane_A	9	1.5e-17	459.248	421.245	-1	M+H	1	CC(C)CC1C(=O)NC(C)C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)NC(C)C(=O)N1	0.00
spectra-00000_PSM_47_1LPLYI71SW	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	45031	45824	8796	hymenamide_C	8	1.6e-17	826.401	841.423	-1	M+H	1	[C@@H]1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)NCC(=O)N3[C@H](C(=O)N1)CCC3)Cc1ccccc1)CCC2)Cc1c[nH]c2c1cccc2)CC(C)C)CCC(=O)O	0.00
spectra-00000_PSM_32_NMIGFMT3JA	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	11053	11157	5748	Unguisin_D_Unguisin_D	11	1.7e-17	738.443	643.419	-1	M+H	1	CCC(C)C1C(=O)NC(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NCCCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)N1	0.00
spectra-00000_PSM_18_JY7C3D7VM1	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	46929	47763	6036	Pseudodestruxin_C_Pseudodestruxin_C	12	1.9e-17	669.41	656.401	-1	M+H	1	CC(C)CC1C(=O)N2CCC(C)C2C(=O)NC(Cc2ccccc2)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)NCCC(=O)O1	0.00
spectra-00000_PSM_31_GX0RC6ADO5	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	37941	38583	5644	Fenestin_B_Fenestin_B	11	2.0e-17	519.342	425.276	-1	M+H	1	CCC(C)C1C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_39_YBEN4LXL0V	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	50698	51622	5804	Cyclo(D-isoleucylleucylprolyl-N-methylphenylalanylvalyl)_4-D-Leucine_analogue	9	2.0e-17	535.373	538.359	-1	M+H	1	CCC(C)C1C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N1	0.00
spectra-00000_PSM_49_U44HUNUN0S	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42105	42834	9212	stylissamide_X	8	2.4e-17	951.522	969.554	-1	M+H	1	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
spectra-00000_PSM_43_TTQ8MQRKZU	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	47483	48336	504	Nocardiamide_A_Nocardiamide_A	9	3.2e-17	686.437	735.441	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_37_VBD1RMT0AT	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	51970	52908	5867	Isariins_Isariin_E	10	3.6e-17	553.348	514.358	-1	M+H	1	CCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)O1	0.00
spectra-00000_PSM_59_BWHFUKAS5Y	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	10342	10437	8153	E'desotamides_B'	10	6.3e-17	682.38	625.407	-1	M+H	1	O=C1CNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N1)Cc1c[nH]c2c1cccc2)CC(C)C)CC(C)C)C(C)C	0.00
spectra-00000_PSM_19_4NJRFHKRRC	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55642	56639	5936	Isariins_Isariin_F1	12	9.0e-17	581.379	568.37	-1	M+H	1	CCCCCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC)C(=O)O1	0.00
spectra-00000_PSM_62_81EO8UGSGZ	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34258	34814	615	Nairaiamide_A_Nairaiamide_A	9	1.1e-16	801.536	746.517	-1	M+H	1	CCC(C)C1C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)NC(C(C)OC(C)(C)C=C)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_64_G2QW430XQN	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	48396	49262	6215	Dolastatin_15_Dolastatin_15	8	1.1e-16	836.505	398.24	-1	M+2H	2	CC(C)C(C(=O)N(C)C(C(C)C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)OC(C(C)C)C(=O)N1C(Cc2ccccc2)C(=CC1=O)OC)NC(=O)C(C(C)C)N(C)C	0.00
spectra-00000_PSM_61_I37PLLJZWN	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42245	42975	8960	phakellistatin_6	9	1.3e-16	850.474	857.502	-1	M+H	1	c1ccc2c(c1)c(c[nH]2)C[C@H]1C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N[C@H](C(=O)N4[C@H](C(=O)N1)CCC4)Cc1ccccc1)CCC3)[C@@H](C)CC)CCC2)CC(C)C	0.00
spectra-00000_PSM_65_92G7ELSWHC	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34292	34848	8596	Phepropeptin_A	8	1.4e-16	682.442	760.533	-1	M+H	1	N12C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H]1CCC2)CC(C)C)CC(C)C)C(C)C)CC(C)C)Cc1ccccc1	0.00
spectra-00000_PSM_21_5AOZF12JOA	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	47458	48310	504	Nocardiamide_A_Nocardiamide_A	12	1.5e-16	686.437	715.475	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_23_2Y2WLT0QDY	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	35930	36529	771	Plactin_A_Plactin_A	12	1.5e-16	644.401	588.373	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_63_RJWI0D2BMF	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	51676	52612	1008	Itralamide_B_Itralamide_B	9	1.8e-16	796.369	647.411	-1	M+H	1	CC(C)C1C(=O)N(C)C(C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)OC(C)C(C(=O)N(C)C(C)C(=O)N1)N(C)C(=O)CC(C)C(Cl)Cl	0.00
spectra-00000_PSM_28_L2CNNG9PYJ	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55641	56638	8589	Emericellamide_B	11	2.2e-16	651.457	666.478	-1	M+H	1	O1[C@@H]([C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C1=O)C)C)CC(C)C)C(C)C)C)[C@H](C[C@H](CCCCCC)C)C	0.00
spectra-00000_PSM_66_9FTC7FO4I2	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42554	43288	4876	Phakellistatin_3,_9CI_cis-Isomer	7	2.4e-16	814.401	843.403	-1	M+H	1	CC(C)CC1C(=O)N2C(CC3(c4ccccc4NC23)O)C(=O)N2CCCC2C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)N2CCCC2C(=O)NC(C(C)O)C(=O)N1	0.00
